9.375,115.625,78.125
0,118.75,75
3.125,121.875,78.125
0,112.5,81.25
3.125,115.625,84.375
0,100,87.5
6.25,106.25,93.75
6.25,100,87.5
9.375,103.125,90.625
0,106.25,87.5
3.125,109.375,90.625
0,100,93.75
3.125,103.125,96.875
0,0,100
50,50,150
50,0,100
75,25,125
75,0,100
87.5,12.5,112.5
87.5,0,100
93.75,6.25,106.25
93.75,0,100
96.875,3.125,103.125
87.5,6.25,100
90.625,9.375,103.125
87.5,0,106.25
90.625,3.125,109.375
75,12.5,100
81.25,18.75,106.25
81.25,12.5,100
84.375,15.625,103.125
75,18.75,100
78.125,21.875,103.125
75,12.5,106.25
78.125,15.625,109.375
75,0,112.5
81.25,6.25,118.75
81.25,0,112.5
84.375,3.125,115.625
75,6.25,112.5
78.125,9.375,115.625
75,0,118.75
78.125,3.125,121.875
50,25,100
62.5,37.5,112.5
62.5,25,100
68.75,31.25,106.25
68.75,25,100
71.875,28.125,103.125
62.5,31.25,100
65.625,34.375,103.125
62.5,25,106.25
65.625,28.125,109.375
50,37.5,100
56.25,43.75,106.25
56.25,37.5,100
59.375,40.625,103.125
50,43.75,100
53.125,46.875,103.125
50,37.5,106.25
53.125,40.625,109.375
50,25,112.5
56.25,31.25,118.75
56.25,25,112.5
59.375,28.125,115.625
50,31.25,112.5
53.125,34.375,115.625
50,25,118.75
53.125,28.125,121.875
50,0,125
62.5,12.5,137.5
62.5,0,125
68.75,6.25,131.25
68.75,0,125
71.875,3.125,128.125
62.5,6.25,125
65.625,9.375,128.125
62.5,0,131.25
65.625,3.125,134.375
50,12.5,125
56.25,18.75,131.25
56.25,12.5,125
59.375,15.625,128.125
50,18.75,125
53.125,21.875,128.125
50,12.5,131.25
53.125,15.625,134.375
50,0,137.5
56.25,6.25,143.75
56.25,0,137.5
59.375,3.125,140.625
50,6.25,137.5
53.125,9.375,140.625
50,0,143.75
53.125,3.125,146.875
0,50,100
25,75,125
25,50,100
37.5,62.5,112.5
37.5,50,100
43.75,56.25,106.25
43.75,50,100
46.875,53.125,103.125
37.5,56.25,100
40.625,59.375,103.125
37.5,50,106.25
40.625,53.125,109.375
25,62.5,100
31.25,68.75,106.25
31.25,62.5,100
34.375,65.625,103.125
25,68.75,100
28.125,71.875,103.125
25,62.5,106.25
28.125,65.625,109.375
25,50,112.5
31.25,56.25,118.75
31.25,50,112.5
34.375,53.125,115.625
25,56.25,112.5
28.125,59.375,115.625
25,50,118.75
28.125,53.125,121.875
0,75,100
12.5,87.5,112.5
12.5,75,100
18.75,81.25,106.25
18.75,75,100
21.875,78.125,103.125
12.5,81.25,100
15.625,84.375,103.125
12.5,75,106.25
15.625,78.125,109.375
0,87.5,100
6.25,93.75,106.25
6.25,87.5,100
9.375,90.625,103.125
0,93.75,100
3.125,96.875,103.125
0,87.5,106.25
3.125,90.625,109.375
0,75,112.5
6.25,81.25,118.75
6.25,75,112.5
9.375,78.125,115.625
0,81.25,112.5
3.125,84.375,115.625
0,75,118.75
3.125,78.125,121.875
0,50,125
12.5,62.5,137.5
12.5,50,125
18.75,56.25,131.25
18.75,50,125
21.875,53.125,128.125
12.5,56.25,125
15.625,59.375,128.125
12.5,50,131.25
15.625,53.125,134.375
0,62.5,125
6.25,68.75,131.25
6.25,62.5,125
9.375,65.625,128.125
0,68.75,125
3.125,71.875,128.125
0,62.5,131.25
3.125,65.625,134.375
0,50,137.5
6.25,56.25,143.75
6.25,50,137.5
9.375,53.125,140.625
0,56.25,137.5
3.125,59.375,140.625
0,50,143.75
3.125,53.125,146.875
0,0,150
25,25,175
25,0,150
37.5,12.5,162.5
37.5,0,150
43.75,6.25,156.25
43.75,0,150
46.875,3.125,153.125
37.5,6.25,150
40.625,9.375,153.125
37.5,0,156.25
40.625,3.125,159.375
25,12.5,150
31.25,18.75,156.25
31.25,12.5,150
34.375,15.625,153.125
25,18.75,150
28.125,21.875,153.125
25,12.5,156.25
28.125,15.625,159.375
25,0,162.5
31.25,6.25,168.75
31.25,0,162.5
34.375,3.125,165.625
25,6.25,162.5
28.125,9.375,165.625
25,0,168.75
28.125,3.125,171.875
0,25,150
12.5,37.5,162.5
12.5,25,150
18.75,31.25,156.25
18.75,25,150
21.875,28.125,153.125
12.5,31.25,150
15.625,34.375,153.125
12.5,25,156.25
15.625,28.125,159.375
0,37.5,150
6.25,43.75,156.25
6.25,37.5,150
9.375,40.625,153.125
0,43.75,150
3.125,46.875,153.125
0,37.5,156.25
3.125,40.625,159.375
0,25,162.5
6.25,31.25,168.75
6.25,25,162.5
9.375,28.125,165.625
0,31.25,162.5
3.125,34.375,165.625
0,25,168.75
3.125,28.125,171.875
0,0,175
12.5,12.5,187.5
12.5,0,175
18.75,6.25,181.25
18.75,0,175
21.875,3.125,178.125
12.5,6.25,175
15.625,9.375,178.125
12.5,0,181.25
15.625,3.125,184.375
0,12.5,175
6.25,18.75,181.25
6.25,12.5,175
9.375,15.625,178.125
0,18.75,175
3.125,21.875,178.125
0,12.5,181.25
3.125,15.625,184.375
0,0,187.5
6.25,6.25,193.75
6.25,0,187.5
9.375,3.125,190.625
0,6.25,187.5
3.125,9.375,190.625
0,0,193.75
3.125,3.125,196.875
